Handle,Title,Body (HTML),Included in Online Store,Image Src,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price,Track Inventory,Allow Out of Stock Purchases,Available Quantity,SKU,Weight Value,Weight Unit,Dimension Length,Dimension Width,Dimension Height,Dimension Unit,Product Label Enable,Label Title,Label Start Date,Label End Date,SEO Title,SEO Description
k617-100-ford-c-max-2017-20,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K617-100</strong></p><ul><li>Black wrap,</li><li>Raven Suedezkin insert,</li><li>Silver contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/coYUvSw2xwsbVabjhRtc,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K617-100,1895.00,,FALSE,TRUE,,K617-100,,,,,,,FALSE,,,,Custom Design (CMAX) for Ford C-Max 2017,"Black wrap,  
Raven Suedezkin insert,  
Silver contrast top stitch no insert"
k616-100-ford-c-max-2017-21,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K616-100</strong></p><ul><li>Black wrap, Bone faces</li><li>Beach contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/0Jbq1v8jvxz034VYJBTr,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K616-100,1895.00,,FALSE,TRUE,,K616-100,,,,,,,FALSE,,,,Custom Design (CMAX) for Ford C-Max 2017,"Black wrap, Bone faces 
Beach contrast top stitch no insert"
k617-113-ford-c-max-2017-22,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K617-113</strong></p><ul><li>Beach wrap,  perf insert</li><li>Bone center,  Beach wings,</li><li>Silver contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/7XANoeoswgNdx9384yQQ,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K617-113,1895.00,,FALSE,TRUE,,K617-113,,,,,,,FALSE,,,,Custom Design (CMAX) for Ford C-Max 2017,"Beach wrap,  perf insert 
Bone center,  Beach wings,  
Silver contrast top stitch no insert"
k615-113-ford-c-max-2017-23,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K615-113</strong></p><ul><li>Beach wrap,  perf combo,</li><li>Medium Taupe Suedezkin wings,</li><li>Alabaster contrast top stitch no insert</li></ul>",TRUE,https://services.leadconnectorhq.com/documents/download/4X3Sd7VbkFASIX0tGFLg,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K615-113,1895.00,,FALSE,TRUE,,K615-113,,,,,,,FALSE,,,,Custom Design (CMAX) for Ford C-Max 2017,"Beach wrap,  perf combo, 
Medium Taupe Suedezkin wings,  
Alabaster contrast top stitch no insert"
f1402-100-ford-bronco-sport-2021-2023-f1-24,Factory Design F1 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: F1402-100</strong></p><ul><li>Black wrap</li><li>perf combo</li><li>Stone contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/po52zbN9PTi5cJRwkPgG,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend F1402-100,1895.00,,FALSE,TRUE,,F1402-100,,,,,,,FALSE,,,,Factory Design F1 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 perf combo
 Stone contrast all stitch"
f1403-100-ford-bronco-sport-2021-2023-f2-25,Factory Design F2 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: F1403-100</strong></p><ul><li>Black wrap</li><li>Lunar Grey perf combo</li><li>Lunar Grey wings</li><li>Stone contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/PuzPVBHDgj4XQoQ9jp2B,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend F1403-100,1895.00,,FALSE,TRUE,,F1403-100,,,,,,,FALSE,,,,Factory Design F2 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Lunar Grey perf combo
 Lunar Grey wings
 Stone contrast all stitch"
k2686-222-ford-bronco-sport-2021-2023-k1-26,Custom Design K1 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2686-222</strong></p><ul><li>Mahogany wrap</li><li>Black combo</li><li>perf combo</li><li>Lunar Grey wings</li><li>Stone contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/8MQVF1i3zthkVzLMGZPd,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2686-222,1895.00,,FALSE,TRUE,,K2686-222,,,,,,,FALSE,,,,Custom Design K1 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Mahogany wrap
 Black combo
 perf combo
 Lunar Grey wings
 Stone contrast all stitch"
k2686-224-ford-bronco-sport-2021-2023-k2-27,Custom Design K2 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2686-224</strong></p><ul><li>Coffee wrap</li><li>Black combo</li><li>perf combo</li><li>Dark Slate Suedezkin wings</li><li>Stone contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/ndTf5wRVmYoxUMgxiqZK,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2686-224,1895.00,,FALSE,TRUE,,K2686-224,,,,,,,FALSE,,,,Custom Design K2 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Coffee wrap
 Black combo
 perf combo
 Dark Slate Suedezkin wings
 Stone contrast all stitch"
k2687-100-ford-bronco-sport-2021-2023-k3-28,Custom Design K3 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2687-100</strong></p><ul><li>Black wrap</li><li>perf combo</li><li>Pearl contrast all stitch</li><li>Pearl piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/AySZSZJjXb74xw1uJZqi,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2687-100,1895.00,,FALSE,TRUE,,K2687-100,,,,,,,FALSE,,,,Custom Design K3 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 perf combo
 Pearl contrast all stitch
 Pearl piping"
k2688-100-ford-bronco-sport-2021-2023-k4-29,Custom Design K4 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2688-100</strong></p><ul><li>Black wrap</li><li>perf combo</li><li>Pearl perf wings</li><li>Pearl contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/IUQhoa6rGhaEgK6d7NGz,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2688-100,1895.00,,FALSE,TRUE,,K2688-100,,,,,,,FALSE,,,,Custom Design K4 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 perf combo
 Pearl perf wings
 Pearl contrast all stitch"
