Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
k617-100-ford-c-max-2017-20,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K617-100</strong></p><ul><li>Black wrap,</li><li>Raven Suedezkin insert,</li><li>Silver contrast top stitch no insert</li></ul>",,,,,False,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K617-100,K617-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4f13c4b60dc10d1b50.jpeg,1,,False,Custom Design (CMAX) for Ford C-Max 2017,"Black wrap,  
Raven Suedezkin insert,  
Silver contrast top stitch no insert",,,,,,,,,,,True,,,True,,,active
k616-100-ford-c-max-2017-21,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K616-100</strong></p><ul><li>Black wrap, Bone faces</li><li>Beach contrast top stitch no insert</li></ul>",,,,,False,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K616-100,K616-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4f6c46cc06119d5f83.jpeg,1,,False,Custom Design (CMAX) for Ford C-Max 2017,"Black wrap, Bone faces 
Beach contrast top stitch no insert",,,,,,,,,,,True,,,True,,,active
k617-113-ford-c-max-2017-22,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K617-113</strong></p><ul><li>Beach wrap,  perf insert</li><li>Bone center,  Beach wings,</li><li>Silver contrast top stitch no insert</li></ul>",,,,,False,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K617-113,K617-113,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4fe519ed1d7622d8aa.jpeg,1,,False,Custom Design (CMAX) for Ford C-Max 2017,"Beach wrap,  perf insert 
Bone center,  Beach wings,  
Silver contrast top stitch no insert",,,,,,,,,,,True,,,True,,,active
k615-113-ford-c-max-2017-23,Custom Design (CMAX) for Ford C-Max 2017,"<p><strong>Design Number: K615-113</strong></p><ul><li>Beach wrap,  perf combo,</li><li>Medium Taupe Suedezkin wings,</li><li>Alabaster contrast top stitch no insert</li></ul>",,,,,False,Make,Ford,Model,C-Max,Trim,DON'T KNOW/DON'T SEE MY OPTIONS K615-113,K615-113,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4fe519ed2c0322d8ab.jpeg,1,,False,Custom Design (CMAX) for Ford C-Max 2017,"Beach wrap,  perf combo, 
Medium Taupe Suedezkin wings,  
Alabaster contrast top stitch no insert",,,,,,,,,,,True,,,True,,,active
f1402-100-ford-bronco-sport-2021-2023-f1-24,Factory Design F1 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: F1402-100</strong></p><ul><li>Black wrap</li><li>perf combo</li><li>Stone contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend F1402-100,F1402-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e571f244c49a77081d0520.jpeg,1,,False,Factory Design F1 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 perf combo
 Stone contrast all stitch",,,,,,,,,,,True,,,True,,,active
f1403-100-ford-bronco-sport-2021-2023-f2-25,Factory Design F2 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: F1403-100</strong></p><ul><li>Black wrap</li><li>Lunar Grey perf combo</li><li>Lunar Grey wings</li><li>Stone contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend F1403-100,F1403-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e571f26c46cc0a8e9d63d9.jpeg,1,,False,Factory Design F2 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Lunar Grey perf combo
 Lunar Grey wings
 Stone contrast all stitch",,,,,,,,,,,True,,,True,,,active
k2686-222-ford-bronco-sport-2021-2023-k1-26,Custom Design K1 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2686-222</strong></p><ul><li>Mahogany wrap</li><li>Black combo</li><li>perf combo</li><li>Lunar Grey wings</li><li>Stone contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2686-222,K2686-222,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e571f2379294468ee1ccc7.jpeg,1,,False,Custom Design K1 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Mahogany wrap
 Black combo
 perf combo
 Lunar Grey wings
 Stone contrast all stitch",,,,,,,,,,,True,,,True,,,active
k2686-224-ford-bronco-sport-2021-2023-k2-27,Custom Design K2 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2686-224</strong></p><ul><li>Coffee wrap</li><li>Black combo</li><li>perf combo</li><li>Dark Slate Suedezkin wings</li><li>Stone contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2686-224,K2686-224,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e571f2379294f308e1ccc6.jpeg,1,,False,Custom Design K2 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Coffee wrap
 Black combo
 perf combo
 Dark Slate Suedezkin wings
 Stone contrast all stitch",,,,,,,,,,,True,,,True,,,active
k2687-100-ford-bronco-sport-2021-2023-k3-28,Custom Design K3 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2687-100</strong></p><ul><li>Black wrap</li><li>perf combo</li><li>Pearl contrast all stitch</li><li>Pearl piping</li></ul>,,,,,False,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2687-100,K2687-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e571f2cfc467a6ca93cfd1.jpeg,1,,False,Custom Design K3 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 perf combo
 Pearl contrast all stitch
 Pearl piping",,,,,,,,,,,True,,,True,,,active
k2688-100-ford-bronco-sport-2021-2023-k4-29,Custom Design K4 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2688-100</strong></p><ul><li>Black wrap</li><li>perf combo</li><li>Pearl perf wings</li><li>Pearl contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2688-100,K2688-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e571f21d86b085bb4c8afd.jpeg,1,,False,Custom Design K4 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 perf combo
 Pearl perf wings
 Pearl contrast all stitch",,,,,,,,,,,True,,,True,,,active
k2686-120-ford-bronco-sport-2021-2023-k5-30,Custom Design K5 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2686-120</strong></p><ul><li>Pearl wrap</li><li>Black center</li><li>perf combo</li><li>Black wings</li><li>Red contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2686-120,K2686-120,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e571f23792949f13e1ccc5.jpeg,1,,False,Custom Design K5 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Pearl wrap
 Black center
 perf combo
 Black wings
 Red contrast all stitch",,,,,,,,,,,True,,,True,,,active
k2689-100-ford-bronco-sport-2021-2023-k6-31,Custom Design K6 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2689-100</strong></p><ul><li>Black wrap</li><li>Ash center</li><li>perf combo</li><li>Silver contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2689-100,K2689-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e571f23792945314e1ccc4.jpeg,1,,False,Custom Design K6 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Ash center
 perf combo
 Silver contrast all stitch",,,,,,,,,,,True,,,True,,,active
k2690-100-ford-bronco-sport-2021-2023-k7-32,Custom Design K7 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2690-100</strong></p><ul><li>Black wrap</li><li>Ash faces</li><li>perf combo</li><li>Black wings</li><li>Black contrast all stitch</li><li>Black piping</li></ul>,,,,,False,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2690-100,K2690-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e571f2379294bcc5e1ccc2.jpeg,1,,False,Custom Design K7 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Ash faces
 perf combo
 Black wings
 Black contrast all stitch
 Black piping",,,,,,,,,,,True,,,True,,,active
k2691-100-ford-bronco-sport-2021-2023-k8-33,Custom Design K8 for Ford Bronco Sport Base-Big Bend 2021 - 2023,<p><strong>Design Number: K2691-100</strong></p><ul><li>Black wrap</li><li>Lunar Grey faces</li><li>perf combo</li><li>perf wings</li><li>Black contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,Bronco Sport,Trim,Base-Big Bend K2691-100,K2691-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e571f2cfc467313c93cfd0.jpeg,1,,False,Custom Design K8 for Ford Bronco Sport Base-Big Bend 2021 - 2023,"Black wrap
 Lunar Grey faces
 perf combo
 perf wings
 Black contrast all stitch",,,,,,,,,,,True,,,True,,,active
